"year","constructor_name","driver_name","points"
1950,"Alfa Romeo","Nino Farina",30
1951,"Alfa Romeo","Juan Fangio",31
1952,"Ferrari","Alberto Ascari",36
1952,"Ferrari","Alberto Ascari",36
1952,"Ferrari","Alberto Ascari",36
1953,"Ferrari","Alberto Ascari",34.5
1953,"Ferrari","Alberto Ascari",34.5
1954,"Mercedes","Juan Fangio",42
1954,"Mercedes","Juan Fangio",42
1954,"Mercedes","Juan Fangio",42
1955,"Mercedes","Juan Fangio",40
1956,"Ferrari","Juan Fangio",30
1956,"Ferrari","Juan Fangio",30
1956,"Ferrari","Juan Fangio",30
1957,"Maserati","Juan Fangio",40
1957,"Maserati","Juan Fangio",40
1958,"Ferrari","Mike Hawthorn",42
1959,"Cooper-Climax","Jack Brabham",31
1959,"Cooper-Climax","Jack Brabham",31
1960,"Cooper-Climax","Jack Brabham",43
1961,"Ferrari","Phil Hill",34
1962,"BRM","Graham Hill",42
1963,"Lotus-Climax","Jim Clark",54
1963,"Lotus-Climax","Jim Clark",54
1964,"Ferrari","John Surtees",40
1965,"Lotus-Climax","Jim Clark",54
1965,"Lotus-Climax","Jim Clark",54
1965,"Lotus-Climax","Jim Clark",54
1965,"Lotus-Climax","Jim Clark",54
1966,"Brabham-Repco","Jack Brabham",42
1967,"Brabham-Repco","Denny Hulme",51
1968,"Lotus-Ford","Graham Hill",48
1969,"Matra-Ford","Jackie Stewart",63
1970,"Team Lotus","Jochen Rindt",45
1970,"Team Lotus","Jochen Rindt",45
1970,"Team Lotus","Jochen Rindt",45
1971,"Tyrrell","Jackie Stewart",62
1972,"Team Lotus","Emerson Fittipaldi",61
1972,"Team Lotus","Emerson Fittipaldi",61
1972,"Team Lotus","Emerson Fittipaldi",61
1973,"Tyrrell","Jackie Stewart",71
1973,"Tyrrell","Jackie Stewart",71
1974,"McLaren","Emerson Fittipaldi",55
1975,"Ferrari","Niki Lauda",64.5
1976,"McLaren","James Hunt",69
1977,"Ferrari","Niki Lauda",72
1978,"Team Lotus","Mario Andretti",64
1978,"Team Lotus","Mario Andretti",64
1978,"Team Lotus","Mario Andretti",64
1979,"Ferrari","Jody Scheckter",51
1979,"Ferrari","Jody Scheckter",51
1979,"Ferrari","Jody Scheckter",51
1980,"Williams","Alan Jones",67
1981,"Brabham","Nelson Piquet",50
1982,"Williams","Keke Rosberg",44
1983,"Brabham","Nelson Piquet",59
1984,"McLaren","Niki Lauda",72
1985,"McLaren","Alain Prost",73
1985,"McLaren","Alain Prost",73
1986,"McLaren","Alain Prost",72
1987,"Williams","Nelson Piquet",73
1987,"Williams","Nelson Piquet",73
1987,"Williams","Nelson Piquet",73
1988,"McLaren","Ayrton Senna",90
1989,"McLaren","Alain Prost",76
1989,"McLaren","Alain Prost",76
1989,"McLaren","Alain Prost",76
1990,"McLaren","Ayrton Senna",78
1990,"McLaren","Ayrton Senna",78
1990,"McLaren","Ayrton Senna",78
1990,"McLaren","Ayrton Senna",78
1991,"McLaren","Ayrton Senna",96
1992,"Williams","Nigel Mansell",108
1992,"Williams","Nigel Mansell",108
1992,"Williams","Nigel Mansell",108
1993,"Williams","Alain Prost",99
1994,"Benetton","Michael Schumacher",92
1994,"Benetton","Michael Schumacher",92
1995,"Benetton","Michael Schumacher",102
1995,"Benetton","Michael Schumacher",102
1996,"Williams","Damon Hill",97
1997,"Williams","Jacques Villeneuve",81
1998,"McLaren","Mika Häkkinen",100
1999,"McLaren","Mika Häkkinen",76
2000,"Ferrari","Michael Schumacher",108
2001,"Ferrari","Michael Schumacher",123
2002,"Ferrari","Michael Schumacher",144
2003,"Ferrari","Michael Schumacher",93
2004,"Ferrari","Michael Schumacher",148
2005,"Renault","Fernando Alonso",133
2006,"Renault","Fernando Alonso",134
2007,"Ferrari","Kimi Räikkönen",110
2008,"McLaren","Lewis Hamilton",98
2009,"Brawn","Jenson Button",95
2010,"Red Bull","Sebastian Vettel",256
2011,"Red Bull","Sebastian Vettel",392
2012,"Red Bull","Sebastian Vettel",281
2013,"Red Bull","Sebastian Vettel",397
2014,"Mercedes","Lewis Hamilton",384
2015,"Mercedes","Lewis Hamilton",381
2016,"Mercedes","Nico Rosberg",385
2017,"Mercedes","Lewis Hamilton",363
2018,"Mercedes","Lewis Hamilton",408
2019,"Mercedes","Lewis Hamilton",413
2020,"Mercedes","Lewis Hamilton",347
2021,"Red Bull","Max Verstappen",395.5
2022,"Red Bull","Max Verstappen",454
2023,"Red Bull","Max Verstappen",314
